dim_product[product_name],[IsGrandTotalRowTotal],[Total_YTD],[Target_YTD],[Total_YTD_Last_Year],[Target_YTD_Last_Year],[Varriance],[Last_Year_Varriance],[YoY_Growth],[v__Varriance],[v__Varriance_Last_Year],[v__YoY_Growth]
,True,47068,48226,44148,45495,-1158,-1347,2920,-0.02401194376477419,-0.029607649192218925,0.06614116154752198
Amoxicillin,False,3401,3333,3299,3280,68,19,102,0.0204020402040204,0.005792682926829268,0.030918460139436194
Antangin,False,1169,1175,1023,1160,-6,-137,146,-0.005106382978723404,-0.11810344827586207,0.14271749755620725
Asam Mefenamat,False,880,891,772,793,-11,-21,108,-0.012345679012345678,-0.02648171500630517,0.13989637305699482
Bisolvon,False,597,646,718,693,-49,25,-121,-0.07585139318885449,0.03607503607503607,-0.16852367688022285
Bodrex,False,3774,3803,3348,3772,-29,-424,426,-0.0076255587693925845,-0.11240721102863202,0.12724014336917563
Bodrexin,False,713,757,715,721,-44,-6,-2,-0.05812417437252312,-0.008321775312066574,-0.002797202797202797
CTM,False,1446,1555,1511,1546,-109,-35,-65,-0.07009646302250803,-0.022639068564036222,-0.04301786896095301
Decolgen,False,808,769,697,745,39,-48,111,0.05071521456436931,-0.06442953020134229,0.15925394548063126
Feminax,False,537,564,455,503,-27,-48,82,-0.047872340425531915,-0.09542743538767395,0.18021978021978022
Intunal,False,527,518,396,453,9,-57,131,0.017374517374517374,-0.12582781456953643,0.33080808080808083
Inzana,False,587,560,527,563,27,-36,60,0.048214285714285716,-0.06394316163410302,0.11385199240986717
Komix,False,693,702,567,589,-9,-22,126,-0.01282051282051282,-0.03735144312393888,0.2222222222222222
Mixagrip,False,2070,2187,2128,1973,-117,155,-58,-0.053497942386831275,0.07856056766345666,-0.02725563909774436
Mylanta,False,1382,1595,1471,1392,-213,79,-89,-0.1335423197492163,0.05675287356321839,-0.060503059143439834
Neurobion,False,1645,1582,1420,1438,63,-18,225,0.03982300884955752,-0.012517385257301807,0.15845070422535212
OBH Combi,False,3135,2930,2359,2422,205,-63,776,0.06996587030716724,-0.02601156069364162,0.32895294616362863
Panadol,False,2054,2087,2171,2068,-33,103,-117,-0.01581217057977959,0.049806576402321084,-0.05389221556886228
Paracetamol,False,1941,2103,1849,1968,-162,-119,92,-0.07703281027104136,-0.06046747967479675,0.04975662520281233
Paramex,False,2163,2314,2022,2180,-151,-158,141,-0.06525496974935177,-0.07247706422018349,0.06973293768545995
Polysilane,False,1284,1324,1166,1209,-40,-43,118,-0.030211480362537766,-0.03556658395368073,0.10120068610634649
Ponstan,False,511,522,488,509,-11,-21,23,-0.0210727969348659,-0.0412573673870334,0.0471311475409836
Procold,False,2643,2726,2737,2894,-83,-157,-94,-0.03044754218635363,-0.05425017277125086,-0.034344172451589335
Promag,False,1733,1807,1803,1781,-74,22,-70,-0.04095185390149419,0.012352610892756879,-0.03882418191902385
Sangobion,False,1678,1809,1412,1484,-131,-72,266,-0.07241569928137093,-0.04851752021563342,0.18838526912181303
Sanmol,False,2972,2864,2700,2739,108,-39,272,0.03770949720670391,-0.014238773274917854,0.10074074074074074
Tolak Angin,False,1663,1848,1785,1804,-185,-19,-122,-0.1001082251082251,-0.010532150776053215,-0.06834733893557422
Vicks Formula 44,False,714,723,568,700,-9,-132,146,-0.012448132780082987,-0.18857142857142858,0.25704225352112675
Vitamin B Complex,False,1308,1386,1252,1305,-78,-53,56,-0.05627705627705628,-0.04061302681992337,0.04472843450479233
Vitamin C,False,897,980,856,944,-83,-88,41,-0.08469387755102041,-0.09322033898305085,0.04789719626168224
Woods,False,2143,2166,1933,1867,-23,66,210,-0.01061865189289012,0.03535083020889127,0.10863942058975685
