dim_product[product_name],[IsGrandTotalRowTotal],[Total_YTD_Last_Year],[Target_YTD_Last_Year],[Last_Year_Varriance],[v__Varriance_Last_Year],[Achievment_Measure_Last_year]
,True,30625,32441,-1816,-0.055978545667519496,Not Achieved
Antangin,False,1023,1160,-137,-0.11810344827586207,Not Achieved
Asam Mefenamat,False,772,793,-21,-0.02648171500630517,Not Achieved
Bodrex,False,3348,3772,-424,-0.11240721102863202,Not Achieved
Bodrexin,False,715,721,-6,-0.008321775312066574,Not Achieved
CTM,False,1511,1546,-35,-0.022639068564036222,Not Achieved
Decolgen,False,697,745,-48,-0.06442953020134229,Not Achieved
Feminax,False,455,503,-48,-0.09542743538767395,Not Achieved
Intunal,False,396,453,-57,-0.12582781456953643,Not Achieved
Inzana,False,527,563,-36,-0.06394316163410302,Not Achieved
Komix,False,567,589,-22,-0.03735144312393888,Not Achieved
Neurobion,False,1420,1438,-18,-0.012517385257301807,Not Achieved
OBH Combi,False,2359,2422,-63,-0.02601156069364162,Not Achieved
Paracetamol,False,1849,1968,-119,-0.06046747967479675,Not Achieved
Paramex,False,2022,2180,-158,-0.07247706422018349,Not Achieved
Polysilane,False,1166,1209,-43,-0.03556658395368073,Not Achieved
Ponstan,False,488,509,-21,-0.0412573673870334,Not Achieved
Procold,False,2737,2894,-157,-0.05425017277125086,Not Achieved
Sangobion,False,1412,1484,-72,-0.04851752021563342,Not Achieved
Sanmol,False,2700,2739,-39,-0.014238773274917854,Not Achieved
Tolak Angin,False,1785,1804,-19,-0.010532150776053215,Not Achieved
Vicks Formula 44,False,568,700,-132,-0.18857142857142858,Not Achieved
Vitamin B Complex,False,1252,1305,-53,-0.04061302681992337,Not Achieved
Vitamin C,False,856,944,-88,-0.09322033898305085,Not Achieved
